operation_name,index_type,metric,min_rows_for_fit,points_used_for_fit,teacher_model_name,teacher_formula,teacher_r2,teacher_rmse,teacher_mape_percent,teacher_aicc,statistical_model_name,statistical_formula,statistical_r2,statistical_rmse,statistical_mape_percent,statistical_aicc,models_match,expected_priority,recommended_model,use_in_report,report_comment
insert,expression_index,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00474497 + 4.018874e-04·ln(N),0.1464395743380195,0.0027929491244448,33.78492765893452,-147.6970873966786,linear,y = 0.00713089 + 0.0142751·(N/1e6),0.4410757096866848,0.0022600725531577,24.55262783002852,-153.20131743919814,NO,logarithmic > linear > constant > exponential,not used,NO,Метрика одной строки слишком шумная для формулы: постоянные накладные расходы сравнимы с измеряемым временем.
insert,function_index,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00680641 + -2.967561e-04·ln(N),0.1831331104846419,0.001804107973786,30.76086562246257,-159.05991417423894,constant,y = 0.00427888,0.0,0.0019961210731561,29.75979600592754,-159.26664920736715,NO,logarithmic > linear > constant > exponential,not used,NO,Метрика одной строки слишком шумная для формулы: постоянные накладные расходы сравнимы с измеряемым временем.
insert,no_index,avg_elapsed_ms_per_operation,50,13,constant,y = 0.00258363,-2.220446049250313e-16,0.0019193134811836,49.882249231568906,-160.28684432429162,logarithmic,y = 0.00645195 + -4.541780e-04·ln(N),0.4639826373080239,0.0014051909451018,39.8405414199437,-165.55713411752916,NO,constant > logarithmic > linear > exponential,not used,NO,Метрика одной строки слишком шумная для формулы: постоянные накладные расходы сравнимы с измеряемым временем.
insert,simple_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00407433 + 7.535571e-05·ln(N),0.0079660283512013,0.0024206347597971,44.75783419235061,-151.4168623700375,exponential,y = 0.00366597·exp(1.98193·(N/1e6)),0.5209471456539363,0.0016821228455168,24.55719512555977,-160.88016580255842,NO,logarithmic > linear > constant > exponential,not used,NO,Метрика одной строки слишком шумная для формулы: постоянные накладные расходы сравнимы с измеряемым временем.
insert,unique_btree,avg_elapsed_ms_per_operation,50,13,logarithmic,y = 0.00840063 + -4.257417e-04·ln(N),0.3264340721941619,0.0017603912884696,26.18470793733692,-159.69769846284925,logarithmic,y = 0.00840063 + -4.257417e-04·ln(N),0.3264340721941619,0.0017603912884696,26.18470793733692,-159.69769846284925,YES,logarithmic > linear > constant > exponential,not used,NO,Метрика одной строки слишком шумная для формулы: постоянные накладные расходы сравнимы с измеряемым временем.
insert,expression_index,avg_total_elapsed_ms,50,13,logarithmic,y = -5.28059 + 1.33953·ln(N),0.8378890741584443,1.6960374385128236,26.662613277706708,18.935659904743304,logarithmic,y = -5.28059 + 1.33953·ln(N),0.8378890741584443,1.6960374385128236,26.662613277706708,18.935659904743304,YES,logarithmic > linear > constant > exponential,logarithmic or linear,YES,При INSERT с индексами добавляется стоимость поддержки индексных структур; допустима логарифмическая/линейная эмпирическая интерпретация.
insert,function_index,avg_total_elapsed_ms,50,13,logarithmic,y = -0.755798 + 0.415821·ln(N),0.7169309188727591,0.7521160703110353,38.531497734671696,-2.2064800712495902,logarithmic,y = -0.755798 + 0.415821·ln(N),0.7169309188727591,0.7521160703110353,38.531497734671696,-2.2064800712495902,YES,logarithmic > linear > constant > exponential,logarithmic or linear,YES,При INSERT с индексами добавляется стоимость поддержки индексных структур; допустима логарифмическая/линейная эмпирическая интерпретация.
insert,no_index,avg_total_elapsed_ms,50,13,constant,y = 1.40692,0.0,0.5636397514968721,57.84965838925776,-12.543202857537072,logarithmic,y = 0.444484 + 0.113·ln(N),0.3330363124938583,0.4603124375106437,37.584465478267646,-14.97209501006438,NO,constant > logarithmic > linear > exponential,constant / weak logarithmic,YES,Вставка без индекса близка к постоянной стоимости на строку; суммарное время серии меняется слабо и шумно.
insert,simple_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -3.05156 + 0.745256·ln(N),0.6670684789387776,1.5155429732236068,38.00198062483632,16.01011809590564,linear,y = 2.03399 + 17.371·(N/1e6),0.8651871429491034,0.9643983400089258,68.33810023417787,4.257477797434539,NO,logarithmic > linear > constant > exponential,logarithmic or linear,YES,При INSERT с индексами добавляется стоимость поддержки индексных структур; допустима логарифмическая/линейная эмпирическая интерпретация.
insert,unique_btree,avg_total_elapsed_ms,50,13,logarithmic,y = -0.271684 + 0.390386·ln(N),0.6884559886813745,0.7559383584241424,35.84183842551001,-2.07468150767502,logarithmic,y = -0.271684 + 0.390386·ln(N),0.6884559886813745,0.7559383584241424,35.84183842551001,-2.07468150767502,YES,logarithmic > linear > constant > exponential,logarithmic or linear,YES,При INSERT с индексами добавляется стоимость поддержки индексных структур; допустима логарифмическая/линейная эмпирическая интерпретация.
